group,keywords,keyword_matches,gender,geo,multi_geo,csv_file,target_cpa,per_source_budget,max_bid,frequency_cap,max_daily_budget,variants,ios_version,android_version,ad_format,enabled,test_number
Blonde,couch sex,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,pierced belly,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,sweet sinner,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,plowed,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,smalltits,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,tiny tits,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,braces,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,young,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,teenager,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,small tits,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,skinny,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,teen 18,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,blonde blowjob,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,teen babe,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,thin,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
Blonde,round ass,,all,US,,Native_Blonde_Dec25.csv,50,100,10,2,50,all mobile,>18.4,>11.0,Native,FALSE,5K
